userId,inputDt,yest_sleep,yest_sleepProblem,yest_dream,amCondition,amEmotion,pmEmotion,pmStress,caffeine,cAmount(ml),alcohol,aAmount(ml),work,meal,personal_care,travel,recreation_etc,recreation_media,socialising,study,household,shop,entertainment,outdoor_act,hobby,care_housemem,community_interaction,today_sleep,today_sleepProblem,today_dream
user24,2020-08-31 0:00,3,2,2,3,3,4,2,coffee,200,,,517,89,25,,33,,,,26,,,,128,,,4,0,4
user24,2020-09-01 0:00,4,0,4,4,3,5,4,coffee,150,,,389,120,35,145,,108,,,,3,,,45,,,4,0,4
user24,2020-09-02 0:00,4,0,4,2,4,4,4,,,,,413,98,25,,118,,24,,20,,,,,,77,4,0,2
user24,2020-09-03 0:00,4,0,2,2,3,3,2,coffee,200,,,374,95,20,,58,92,66,,25,,,20,120,,,3,0,2
user24,2020-09-04 0:00,3,0,2,2,3,5,4,coffee,100,,,452,106,40,150,35,57,55,,,,,,,,,4,0,3
user24,2020-09-05 0:00,4,0,3,3,5,5,5,,,,,,121,,,24,314,60,,90,,,,,,,4,0,2
user24,2020-09-06 0:00,4,0,2,2,3,2,1,coffee,250,,,,187,32,108,65,54,216,,,30,,,,,69,4,1,2
user24,2020-09-07 0:00,4,1,2,4,3,4,2,coffee,200,,,436,75,38,146,30,67,117,,,,,,,,,4,0,4
user24,2020-09-08 0:00,4,0,4,1,4,4,2,,,,,450,110,38,162,,140,,,,,,,,,,3,0,2
user24,2020-09-09 0:00,3,0,2,2,4,3,3,,,,,345,109,,,,298,,,15,,,31,,,,4,0,4
user24,2020-09-10 0:00,4,0,4,3,4,4,4,,,,,375,85,20,,35,297,,,10,,,,,,50,4,0,4
user24,2020-09-11 0:00,4,0,4,2,3,5,2,coffee,150,,,420,160,35,180,10,,,,10,,,,128,,,3,5,2
user24,2020-09-12 0:00,3,5,2,2,4,4,5,coffee,100,,,,68,20,55,,469,88,,10,,,50,,,,4,0,2
user24,2020-09-13 0:00,4,0,2,2,4,5,2,,,,,,125,,61,60,209,,,20,,,,,,155,4,0,2
user24,2020-09-14 0:00,4,0,2,2,3,5,2,coffee,250,,,,,,,,,,,,,,,,,,3,2,2
user24,2020-09-15 0:00,3,2,2,2,2,3,2,,,,,430,35,30,260,15,65,,,20,,,,,,,4,0,2
user24,2020-09-16 0:00,4,0,2,3,4,4,2,,,,,510,120,,,,192,105,,,,,,,,,4,0,2
user24,2020-09-17 0:00,4,0,2,4,3,3,2,coffee,150,,,335,50,15,127,75,95,137,,,,,,,,,3,0,2
user24,2020-09-18 0:00,3,0,2,1,3,3,1,,,,,388,128,35,238,30,,40,,,,,,,,,3,0,2
user24,2020-09-19 0:00,3,0,2,2,3,3,4,,,,,,68,45,105,90,205,115,,,,,,,,90,4,0,2
user24,2020-09-20 0:00,4,0,2,3,4,4,4,,,,,,112,23,50,,15,222,,126,,,,75,,124,3,0,2
user24,2020-09-21 0:00,3,0,2,2,2,4,1,coffee,100,,,504,72,49,146,20,113,65,,,,,,,,,4,2,2
user24,2020-09-22 0:00,4,2,2,2,3,3,2,,,,,436,120,30,186,13,99,,,10,,,,,,,4,0,2
user24,2020-09-23 0:00,4,0,2,2,4,2,1,coffee,200,,,432,149,15,56,10,48,78,,,,,,,,69,3,0,2
user24,2020-09-24 0:00,3,0,2,2,3,1,1,,,,,582,65,,,20,84,,,,,,,,,,3,0,2
user24,2020-09-25 0:00,3,0,2,2,2,4,2,coffee,100,,,423,80,26,205,,41,106,,,,,40,,49,,4,0,2
user24,2020-09-26 0:00,4,0,2,4,3,4,4,,,,,,85,,25,72,339,,90,20,,,,96,,,4,0,2
user24,2020-09-27 0:00,4,0,2,3,4,3,4,coffee,100,,,,140,29,35,5,168,,,35,,,,,,127,,,
user23,2020-08-31 0:00,4,1,2,3,4,5,2,coffee,300,,,540,60,30,120,120,,,,20,,,30,,40,,4,1,2
user23,2020-09-01 0:00,4,1,2,2,4,5,3,coffee,250,,,256,60,63,330,58,,,,30,,,,,60,,2,1,4
user23,2020-09-02 0:00,2,1,4,3,4,5,4,,,,,,91,18,180,90,,,,30,,,60,,208,,3,3,4
user23,2020-09-03 0:00,3,3,4,4,4,5,5,,,,,,80,,60,30,60,,,,,,90,,353,,4,1,2
user23,2020-09-04 0:00,4,1,2,4,4,5,5,,,,,,121,,300,,60,,,60,,,,,189,,4,0,4
user23,2020-09-05 0:00,4,0,4,5,5,5,2,,,,,,125,37,60,,60,,,90,,,36,,266,,4,0,2
user23,2020-09-06 0:00,4,0,2,4,5,5,4,,,,,,60,84,140,90,,,,70,,,,60,270,,3,5,2
user23,2020-09-07 0:00,3,5,2,1,2,5,4,,,,,450,90,24,210,,,,,,,,,,24,,3,8,2
user23,2020-09-08 0:00,3,8,2,2,4,4,2,,,,,360,29,115,240,30,,,,,,,,,60,,3,8,2
user23,2020-09-09 0:00,3,8,2,3,3,4,2,,,,,471,100,44,120,,,,,,,,,,60,,2,7,2
user23,2020-09-10 0:00,2,7,2,1,1,5,4,,,,,299,60,60,323,,,,,,,,60,,35,,3,3,2
user23,2020-09-11 0:00,3,3,2,3,4,5,4,,,,,510,50,70,120,,,,,,,,,,38,,4,0,2
user23,2020-09-12 0:00,4,0,2,4,4,5,5,,,,,,120,20,76,,200,,,20,,,,,200,,2,9,2
user23,2020-09-13 0:00,2,9,2,2,4,5,5,,,,,,120,30,60,,270,,,120,,,,,119,,4,9,2
user23,2020-09-14 0:00,4,9,2,4,4,5,4,,,,,510,60,55,120,,,,,,,,35,,60,,4,9,2
user23,2020-09-15 0:00,4,9,2,2,4,5,2,,,,,390,100,49,210,,,,,,,,,,36,,4,9,2
user23,2020-09-16 0:00,4,9,2,2,3,5,4,,,,,510,150,61,89,,,,,,,,,,,,3,3,1
user23,2020-09-17 0:00,3,3,1,3,2,5,4,,,,,370,90,55,230,,36,,,,,,,,65,,3,9,2
user23,2020-09-18 0:00,3,9,2,4,3,5,5,,,,,420,61,59,210,,,,,,,,,,,,2,9,2
user23,2020-09-19 0:00,2,9,2,2,4,5,5,,,,,,120,19,135,,179,,,,,30,20,,235,,4,9,2
user23,2020-09-20 0:00,4,9,2,4,5,3,2,,,,,,120,44,80,10,134,,,,,,120,,190,,4,0,2
user23,2020-09-21 0:00,4,0,2,1,3,5,3,,,,,420,60,54,240,,,,,,,,,,55,,3,0,2
user23,2020-09-22 0:00,3,0,2,2,3,5,4,coffee,250,not specified,300,509,61,54,120,,,,,,,,,,43,,4,0,2
user23,2020-09-23 0:00,4,0,2,2,3,5,4,,,,,390,90,61,240,,,,,,,,,,73,,3,1,2
user23,2020-09-24 0:00,3,1,2,3,3,5,5,,,,,360,61,59,240,,58,,,,,,,,41,,4,0,2
user23,2020-09-25 0:00,4,0,2,4,3,1,1,,,,,300,60,60,150,,81,,,,,,30,,180,,1,0,2
user23,2020-09-26 0:00,1,0,2,3,4,1,2,,,,,,42,30,80,,228,,,30,,,,,310,,1,0,4
user23,2020-09-27 0:00,1,0,4,1,3,5,5,,,,,,90,,20,,63,50,,60,,,,,236,,,,
user05,2020-08-31 0:00,4,0,4,4,4,4,3,coffee,1000,,,555,114,17,44,,22,,,3,,,,,,,2,2,4
user05,2020-09-01 0:00,2,2,4,2,3,3,2,coffee,1000,,,121,15,3,13,,27,,,17,,,,,,,2,9,4
user05,2020-09-02 0:00,2,9,4,2,3,3,2,coffee,1000,,,56,6,,10,,11,,,,,,,,,,4,0,4
user05,2020-09-03 0:00,4,0,4,4,4,4,3,coffee,500,,,45,41,2,2,,6,,,,,,,,,,4,5,4
user05,2020-09-04 0:00,4,5,4,3,3,4,4,coffee,1000,not specified,300,45,18,,17,15,56,,,,,,,,,,4,0,4
user05,2020-09-05 0:00,4,0,4,3,4,4,4,coffee,1000,,,,96,14,28,14,51,,,32,,,,,97,,4,0,4
user05,2020-09-06 0:00,4,0,4,4,4,4,2,coffee,500,,,,20,4,20,83,61,,,1,6,,,,,,3,0,2
user05,2020-09-07 0:00,3,0,2,4,4,3,3,coffee,1000,,,26,51,39,12,2,13,,,,,,,,,,3,2,2
user05,2020-09-08 0:00,3,2,2,3,3,4,4,coffee,1000,,,33,5,19,7,,21,,,1,,,,,5,,3,1,4
user05,2020-09-09 0:00,3,1,4,3,3,3,3,coffee,1000,,,66,12,60,17,,41,,,,,,,,1,,3,0,2
user05,2020-09-10 0:00,3,0,2,4,3,3,2,coffee,1000,,,30,21,43,16,29,32,,,22,,,,,1,,2,1,2
user05,2020-09-11 0:00,2,1,2,2,3,4,4,coffee,1000,not specified,500,32,16,26,1,30,18,,,,,,,,,,1,2,4
user05,2020-09-12 0:00,1,2,4,1,2,3,4,coffee,1000,,,,5,,25,11,31,73,,,,,,,,,4,0,4
user05,2020-09-13 0:00,4,0,4,4,4,4,4,coffee,300,,,,10,50,44,,93,,,6,,,,,,,4,0,4
user05,2020-09-14 0:00,4,0,4,4,4,3,3,coffee,1000,,,28,8,49,25,10,22,,,10,,,,,,,4,0,4
user05,2020-09-15 0:00,4,0,4,4,4,4,4,coffee,1000,,,45,5,45,16,3,10,10,,,,,,,3,,4,0,4
user05,2020-09-16 0:00,4,0,4,3,3,4,2,coffee,1500,,,27,21,59,17,,14,,,,,,,,,,2,9,2
user05,2020-09-17 0:00,2,9,2,2,3,4,4,coffee,1000,,,34,25,29,8,,8,1,,15,,,,,,,3,0,4
user05,2020-09-18 0:00,3,0,4,2,3,3,3,coffee,1000,,,122,19,49,25,,109,,,5,,,,,,,2,1,4
user05,2020-09-19 0:00,2,1,4,2,4,3,4,coffee,500,not specified,300,,4,10,39,8,121,,,57,,,,,,,3,0,1
user05,2020-09-20 0:00,3,0,1,3,3,3,4,coffee,1000,,,,22,37,11,,148,,,19,,,,,2,,3,0,4
user05,2020-09-21 0:00,3,0,4,3,3,3,3,coffee,1000,not specified,1000,41,38,51,15,,10,,,9,,,,,,,2,3,4
user05,2020-09-22 0:00,2,3,4,2,3,3,3,coffee,1000,,,19,7,,15,,55,,,,,,,,,,3,0,4
user05,2020-09-23 0:00,3,0,4,4,3,4,4,coffee,1000,not specified,500,132,22,45,14,,33,,,14,,,,,8,,3,0,4
user05,2020-09-24 0:00,3,0,4,4,4,2,2,coffee,1000,,,34,11,30,23,,15,,,,,,,,,,3,0,4
user05,2020-09-25 0:00,3,0,4,3,3,4,3,coffee,750,,,39,31,26,7,,21,,,,,,,,,,3,2,4
user05,2020-09-26 0:00,3,2,4,3,3,4,5,,,,,,2,,,21,143,,,24,,,,,,,3,1,4
user05,2020-09-27 0:00,3,1,4,3,3,3,2,coffee,1000,,,5,19,,97,14,72,,,22,,,,,76,,,,
user04,2020-08-31 0:00,2,2,2,3,3,4,2,,,,,344,53,16,199,,,,,14,40,,77,,,,2,2,2
user04,2020-09-01 0:00,2,2,2,2,3,4,2,,,,,518,58,23,33,11,,,,29,,,52,,,,3,2,4
user04,2020-09-02 0:00,3,2,4,4,3,4,3,,,,,339,93,58,204,99,,,,49,,,,,,,2,7,1
user04,2020-09-03 0:00,2,7,1,3,3,4,2,,,,,541,85,20,86,,,,,54,,,43,,,,3,2,4
user04,2020-09-04 0:00,3,2,4,4,4,4,4,,,,,374,96,30,95,108,,,,71,,,,,,,4,3,2
user04,2020-09-05 0:00,4,3,2,4,4,4,5,,,,,,167,10,562,103,14,,,,,,10,,,,4,0,2
user04,2020-09-06 0:00,4,0,2,4,5,4,5,,,,,83,56,14,23,118,,135,,277,,,,48,,,4,0,4
user04,2020-09-07 0:00,4,0,4,4,4,4,3,,,,,516,40,27,88,,,25,,58,,,24,,,,1,9,4
user04,2020-09-08 0:00,1,9,4,2,3,4,2,,,,,360,65,,98,,,33,,,,,67,,,,4,0,4
user04,2020-09-09 0:00,4,0,4,2,3,4,2,,,,,609,61,25,30,,,160,,,,,,,,,4,0,4
user04,2020-09-10 0:00,4,0,4,4,4,4,2,,,,,420,110,18,104,,,65,,71,,,46,,,,4,2,2
user04,2020-09-11 0:00,4,2,2,2,4,3,1,,,,,194,130,30,74,,,128,,,,,58,,,,3,2,2
user04,2020-09-12 0:00,3,2,2,2,3,4,5,,,,,84,16,50,104,127,210,341,,11,,,17,,,,4,0,2
user04,2020-09-13 0:00,4,0,2,4,4,5,5,coffee,200,,,,81,50,80,,218,100,,191,,,82,,,,2,1,2
user04,2020-09-14 0:00,2,1,2,2,3,4,4,,,,,492,66,36,91,,,50,,,,,141,,,,4,2,2
user04,2020-09-15 0:00,4,2,2,2,3,4,1,,,,,310,67,15,206,,,20,,73,,,57,,,,2,0,2
user04,2020-09-16 0:00,2,0,2,2,3,4,2,,,,,515,55,55,89,,,45,,,,,150,,,,4,0,2
user04,2020-09-17 0:00,4,0,2,2,3,3,1,,,,,298,55,44,137,,,12,,16,,,,,,,4,0,2
user04,2020-09-18 0:00,4,0,2,4,4,4,2,,,,,483,71,24,136,,,,,21,,,114,,,,4,0,2
user04,2020-09-19 0:00,4,0,2,2,3,4,5,,,,,335,65,10,,31,124,75,,91,,,61,,,,2,7,1
user04,2020-09-20 0:00,2,7,1,2,2,4,5,,,,,119,82,18,,65,267,198,,34,,,73,,,,3,0,2
user04,2020-09-21 0:00,3,0,2,4,4,4,2,,,,,485,68,25,97,,,,,,,,160,,,,4,0,2
user04,2020-09-22 0:00,4,0,2,4,4,4,1,,,,,615,95,25,66,,,15,,,,,7,,,,4,2,2
user04,2020-09-23 0:00,4,2,2,3,3,4,2,,,,,296,9,14,115,,,68,,,,,116,,,,3,0,2
user04,2020-09-24 0:00,3,0,2,2,3,3,2,,,,,540,63,15,93,,,28,,75,,,,,,,4,0,2
user04,2020-09-25 0:00,4,0,2,4,4,4,2,,,,,524,52,28,106,,,64,,,,,112,,,,4,0,2
user04,2020-09-26 0:00,4,0,2,4,4,4,4,,,,,,61,8,,,246,315,,125,,,,,,,4,0,2
user04,2020-09-27 0:00,4,0,2,4,4,4,4,,,,,238,85,15,108,,127,95,,52,,,49,,,,,,
user12,2020-08-30 0:00,5,7,1,4,5,4,4,coffee,200,soju,200,,,,,,,,,,,,,,,,3,2,2
user12,2020-08-31 0:00,3,2,2,3,3,3,4,coffee,300,soju,200,203,4,39,86,,10,,,,,,,,,,4,5,2
user12,2020-09-01 0:00,4,5,2,4,3,3,3,coffee,200,beer,1000,329,36,17,92,6,14,15,,15,,,,,,,2,2,2
user12,2020-09-02 0:00,2,2,2,2,3,1,1,coffee,150,soju,200,,,,,,,,,,,,,,,,3,2,2
user12,2020-09-03 0:00,3,2,2,2,2,4,3,tea,300,beer,500,480,145,85,176,,44,,,,,,,,,,4,0,2
user12,2020-09-04 0:00,4,0,2,4,3,4,2,coffee,250,soju,350,520,90,24,236,,,,,,,,2,,,,4,2,1
user12,2020-09-05 0:00,4,2,1,4,4,5,5,,,soju,400,,309,60,200,24,96,17,,,40,,,,,,5,5,2
user12,2020-09-06 0:00,5,5,2,5,5,5,5,,,,,,135,50,310,38,,40,,,,300,,,,,5,5,2
user12,2020-09-07 0:00,5,5,2,2,4,4,4,,,,,,117,100,,30,417,20,,35,,,,,,,5,0,2
user12,2020-09-08 0:00,5,0,2,5,5,3,5,,,soju,300,,130,43,120,70,215,97,,43,30,,,,,,5,7,1
user12,2020-09-09 0:00,5,7,1,4,2,3,5,,,beer,400,,100,160,50,,179,60,,105,75,,,,,,5,0,2
user12,2020-09-10 0:00,5,0,2,5,4,4,4,,,wine,300,,170,51,210,20,177,30,,30,81,,,,,,4,2,2
user12,2020-09-11 0:00,4,2,2,2,3,4,4,,,soju,300,504,148,32,150,,63,,,,,,,,,,4,0,2
user12,2020-09-12 0:00,4,0,2,3,4,3,4,,,,,,118,60,34,,120,76,,2,44,30,72,,,,4,2,2
user12,2020-09-13 0:00,4,2,2,4,3,4,5,,,soju,300,,239,116,196,,82,60,,,30,,,,,,2,7,1
user12,2020-09-14 0:00,2,7,1,2,2,2,3,coffee,200,beer,700,,,,,,,,,,,,,,,,4,2,2
user12,2020-09-15 0:00,4,2,2,3,3,3,3,coffee,400,,,471,108,47,144,,61,57,,,,,,,,,4,2,2
user12,2020-09-16 0:00,4,2,2,3,3,3,2,coffee,300,soju,200,255,96,55,141,11,60,,,,,,,,,,4,2,2
user12,2020-09-17 0:00,4,2,2,3,3,4,2,coffee,300,,,490,95,55,142,10,60,40,,,,,,,,,4,3,2
user12,2020-09-18 0:00,4,3,2,4,4,5,3,,,soju,200,510,96,55,126,30,60,,,,,,,,,,4,0,2
user12,2020-09-19 0:00,4,0,2,4,4,5,4,,,beer,500,,131,160,60,,393,17,,30,,,,30,,,5,2,2
user12,2020-09-20 0:00,5,2,2,4,5,4,5,,,soju,200,,71,60,91,,148,,,60,29,90,,,,,3,2,1
user12,2020-09-21 0:00,3,2,1,2,2,2,1,,,soju,300,510,49,37,108,,53,20,,,,,,,,,3,7,2
user12,2020-09-22 0:00,3,7,2,2,3,3,1,,,wine,250,474,99,32,148,,60,40,,,,,,,,,3,7,1
user12,2020-09-23 0:00,3,7,1,3,3,3,1,,,soju,200,484,105,44,141,10,42,40,,,,,,,,,4,0,2
user12,2020-09-24 0:00,4,0,2,4,3,3,3,,,soju,300,448,78,31,140,60,37,40,,,,,,,,,4,0,2
user12,2020-09-25 0:00,4,0,2,2,3,3,2,,,wine,300,530,110,35,149,15,60,,,,,,,,,,5,0,1
user12,2020-09-26 0:00,5,0,1,4,4,4,4,,,,,,90,84,76,40,105,,,,241,,,,,,5,0,2
user12,2020-09-27 0:00,5,0,2,5,4,4,4,,,soju,300,,146,93,40,,309,20,,,,82,,,,,,,
user08,2020-08-31 0:00,2,1,3,2,3,4,3,,,beer,800,83,48,,240,,,,,,,,,,,,5,0,3
user08,2020-09-01 0:00,5,0,3,4,4,4,3,,,beer,800,444,173,29,236,,,,,,,,,,,,4,0,2
user08,2020-09-02 0:00,4,0,2,4,4,3,3,,,,,422,120,119,162,120,,,,,,,,,,,4,0,3
user08,2020-09-03 0:00,4,0,3,2,3,4,1,,,,,512,60,28,121,28,,,,,,,,,,,4,0,3
user08,2020-09-04 0:00,4,0,3,4,4,4,2,,,beer,1000,480,120,30,120,90,,,,,,,,,,,4,0,3
user08,2020-09-05 0:00,4,0,3,3,4,4,5,,,soju,800,,120,60,79,120,60,60,,,99,,43,,60,,5,0,4
user08,2020-09-06 0:00,5,0,4,5,5,5,4,,,,,,120,13,161,,,77,,,,387,,,,,5,0,3
user08,2020-09-07 0:00,5,0,3,5,5,5,2,,,,,,,,,,,,,,,,,,,,5,0,2
user08,2020-09-08 0:00,5,0,2,3,4,5,1,,,,,560,120,30,120,,,,,30,,,,,,,3,0,2
user08,2020-09-09 0:00,3,0,2,3,4,1,1,,,,,473,120,86,120,58,,,,30,,,,,,,2,2,2
user08,2020-09-10 0:00,2,2,2,3,3,3,3,,,,,463,120,150,120,,,,,30,,,,,,,3,1,3
user08,2020-09-11 0:00,3,1,3,3,4,4,2,,,,,480,120,90,120,,,,,13,,,,,,,3,1,2
user08,2020-09-12 0:00,3,1,2,3,3,3,2,,,,,,120,,120,60,120,120,60,60,52,44,,60,60,60,2,4,2
user08,2020-09-13 0:00,2,4,2,3,3,4,3,,,,,,58,60,240,60,,,60,,60,60,,60,60,,4,0,3
user08,2020-09-14 0:00,4,0,3,2,3,4,3,,,,,447,100,90,180,,,,,30,,,,,,,4,0,3
user08,2020-09-15 0:00,4,0,3,4,4,4,1,,,,,471,161,90,120,,60,,,30,,,,,,,4,0,3
user08,2020-09-16 0:00,4,0,3,3,4,4,2,,,,,457,120,27,120,120,,,,30,,,,,,,3,5,3
user08,2020-09-17 0:00,3,5,3,4,4,5,4,,,,,470,169,30,120,38,,,,30,,,,,,,5,0,3
user08,2020-09-18 0:00,5,0,3,4,4,4,4,,,,,466,169,30,119,,,,,30,,,,,,,5,0,2
user08,2020-09-19 0:00,5,0,2,5,5,4,4,,,,,,233,60,,52,,,,106,180,60,,,,,4,0,3
user08,2020-09-21 0:00,4,0,3,5,5,5,4,,,,,470,120,30,,57,,,,30,,,,,,,4,7,3
user08,2020-09-22 0:00,4,7,3,4,4,4,4,,,,,469,120,30,120,,,,,30,,,,,,,3,3,3
user08,2020-09-23 0:00,3,3,3,4,4,4,3,,,,,360,120,133,120,120,,,,30,,,,,,,4,0,3
user08,2020-09-24 0:00,4,0,3,5,4,5,2,,,,,457,120,132,120,,,,,30,,,,,,,4,6,3
user08,2020-09-25 0:00,4,6,3,3,4,4,5,,,,,480,113,131,120,,,,,30,,,,,,,,,
user02,2020-08-31 0:00,4,1,2,2,3,3,2,coffee,1000,soju&beer,500,455,163,57,30,13,,,,,,,,,,,3,0,4
user02,2020-09-01 0:00,3,0,4,1,2,3,2,coffee,1000,,,602,90,50,50,60,,,,,,,,,,,3,5,2
user02,2020-09-02 0:00,3,5,2,1,2,3,1,coffee,500,,,409,90,60,60,,49,30,,,,,,,,,4,5,4
user02,2020-09-03 0:00,4,5,4,1,3,3,1,coffee,500,,,618,120,30,54,20,,90,,,,,,,,,3,1,2
user02,2020-09-04 0:00,3,1,2,1,2,4,2,coffee,1000,,,462,90,69,60,,32,180,,,,,,,,,4,0,2
user02,2020-09-12 0:00,4,0,2,3,3,4,4,,,,,,34,,60,,55,,80,15,,,,,,,3,0,2
user02,2020-09-13 0:00,3,0,2,3,3,3,2,,,,,180,45,86,90,,334,,75,,,,,,,,4,0,2
user02,2020-09-20 0:00,4,0,2,3,3,3,4,,,,,21,60,,30,,89,,60,40,,,,,,,4,0,2
user02,2020-09-21 0:00,4,0,2,2,3,3,2,coffee,500,,,453,60,45,45,,4,,,,,,,,,,4,0,2
user02,2020-09-22 0:00,4,0,2,3,3,3,2,coffee,500,beer,1000,575,181,38,81,,,,30,,,,,,,,3,0,2
user02,2020-09-23 0:00,3,0,2,2,3,4,2,coffee,500,soju,1500,354,200,85,52,,94,91,,,,,,,,,3,0,2
user02,2020-09-25 0:00,3,0,2,2,3,4,2,coffee,1500,,,433,94,57,59,,86,101,,,,,,,,,4,0,2
user02,2020-09-26 0:00,4,0,2,2,3,4,4,,,soju,300,,30,270,90,,152,57,60,60,,,,,,,4,0,2
user02,2020-09-27 0:00,4,0,2,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,
user10,2020-09-05 0:00,2,4,3,2,2,1,1,,,,,,5,110,160,111,55,,,30,,,,,,,1,0,4
user10,2020-09-06 0:00,1,0,4,1,1,4,5,,,,,,42,52,,409,454,,,9,,,,,,,4,1,3
user10,2020-09-07 0:00,4,1,3,4,4,3,2,caffeinated drink,280,,,692,31,30,104,24,,,,,,,,,,,5,1,3
user10,2020-09-08 0:00,5,1,3,4,5,3,2,caffeinated drink,280,,,646,27,18,65,27,111,,,,,,,,,,3,1,4
user10,2020-09-09 0:00,3,1,4,2,3,3,3,caffeinated drink,280,,,523,27,31,90,314,,,,,,,,,,,3,1,4
user10,2020-09-10 0:00,3,1,4,2,2,5,5,caffeinated drink,560,,,430,44,20,86,325,,,,,,,,,,,2,4,4
user10,2020-09-11 0:00,2,4,4,1,1,3,3,caffeinated drink,560,,,493,32,11,90,285,,,,,,,,,,,2,3,4
user10,2020-09-12 0:00,2,3,4,3,4,5,4,,,soju,900,,31,68,21,334,356,,,,,,,,,,5,0,4
user10,2020-09-13 0:00,5,0,4,4,4,5,5,,,,,,130,30,271,305,38,,,,,,,,,,3,1,4
user10,2020-09-14 0:00,3,1,4,3,3,1,5,,,,,717,59,25,93,169,,,,,,,,,,,1,9,4
user10,2020-09-15 0:00,1,9,4,1,2,5,4,,,soju,720,440,25,215,71,477,,,,,,,,,,,2,0,2
user10,2020-09-16 0:00,2,0,2,2,2,3,2,caffeinated drink,260,,,732,21,59,63,165,,,,,,,,,,,3,9,2
user10,2020-09-17 0:00,3,9,2,3,2,5,5,caffeinated drink,260,,,480,25,21,86,17,356,,,,,,,,,,4,1,4
user10,2020-09-18 0:00,4,1,4,3,2,5,5,,,soju,800,,,,,,,,,,,,,,,,5,9,3
user10,2020-09-19 0:00,5,9,3,1,3,4,4,,,,,,103,81,,146,214,72,,,,,,,,,2,1,3
user10,2020-09-20 0:00,2,1,3,2,2,4,5,,,soju,,,74,76,23,365,205,,,,,,,,,,5,0,3
user10,2020-09-21 0:00,5,0,3,2,5,5,5,,,,,,54,58,75,345,,,,,108,154,,,,,2,9,3
user10,2020-09-22 0:00,2,9,3,2,2,4,4,caffeinated drink,560,,,407,66,40,89,104,212,,,,,,80,,,,2,1,3
user10,2020-09-23 0:00,2,1,3,1,3,2,3,caffeinated drink,260,,,476,64,25,90,223,,,,,,,71,,,,3,1,4
user10,2020-09-24 0:00,3,1,4,3,3,2,2,caffeinated drink,560,,,737,38,33,49,21,,,,,,,,,,,2,5,3
user10,2020-09-25 0:00,2,5,3,1,2,5,4,coffee,680,soju,900,410,38,35,55,432,,,,,,,,,,,5,0,3
