weight,cylinders,model_year,origin,horsepower,displacement,acceleration,km
1589.0,8,70,1,130.0,307.0,12.0,7.652571319883447
1675.0,8,70,1,165.0,350.0,11.5,6.3771427665695395
1559.0,8,70,1,150.0,318.0,11.0,7.652571319883447
1557.0,8,70,1,150.0,304.0,12.0,6.802285617674174
1564.0,8,70,1,140.0,302.0,10.5,7.227428468778811
1969.0,8,70,1,198.0,429.0,10.0,6.3771427665695395
1975.0,8,70,1,220.0,454.0,9.0,5.951999915464904
1956.0,8,70,1,215.0,440.0,8.5,5.951999915464904
2007.0,8,70,1,225.0,455.0,10.0,5.951999915464904
1746.0,8,70,1,190.0,390.0,8.5,6.3771427665695395
1616.0,8,70,1,170.0,383.0,10.0,6.3771427665695395
1637.0,8,70,1,160.0,340.0,8.0,5.951999915464904
1706.0,8,70,1,150.0,400.0,9.5,6.3771427665695395
1400.0,8,70,1,225.0,455.0,10.0,5.951999915464904
1076.0,4,70,3,95.0,113.0,15.0,10.203428426511262
1285.0,6,70,1,95.0,198.0,15.5,9.353142724301991
1258.0,6,70,1,97.0,199.0,15.5,7.652571319883447
1173.0,6,70,1,85.0,200.0,16.0,8.927999873197354
966.0,4,70,3,88.0,97.0,14.5,11.47885697982517
832.0,4,70,2,46.0,97.0,20.5,11.053714128720534
1212.0,4,70,2,87.0,110.0,17.5,10.6285712776159
1102.0,4,70,2,90.0,107.0,14.5,10.203428426511262
1077.0,4,70,2,95.0,104.0,17.5,10.6285712776159
1013.0,4,70,2,113.0,121.0,12.5,11.053714128720534
1201.0,6,70,1,90.0,199.0,15.0,8.927999873197354
2093.0,8,70,1,215.0,360.0,14.0,4.25142851104636
1985.0,8,70,1,200.0,307.0,15.0,4.25142851104636
1988.0,8,70,1,210.0,318.0,13.5,4.6765713621509954
2146.0,8,70,1,193.0,304.0,18.5,3.8262856599417234
966.0,4,71,3,88.0,97.0,14.5,11.47885697982517
1027.0,4,71,1,90.0,140.0,15.5,11.903999830929807
1011.0,4,71,3,95.0,113.0,14.0,10.6285712776159
1195.0,6,71,1,100.0,232.0,13.0,8.077714170988083
1560.0,6,71,1,105.0,225.0,15.5,6.802285617674174
1510.0,6,71,1,100.0,250.0,15.5,7.227428468778811
1498.0,6,71,1,88.0,250.0,15.5,8.077714170988083
1491.0,6,71,1,100.0,232.0,15.5,7.652571319883447
1909.0,8,71,1,165.0,350.0,12.0,5.951999915464904
2025.0,8,71,1,175.0,400.0,11.5,5.951999915464904
1884.0,8,71,1,153.0,351.0,13.5,5.951999915464904
1858.0,8,71,1,150.0,318.0,13.0,5.951999915464904
2248.0,8,71,1,180.0,383.0,11.5,5.101714213255631
2153.0,8,71,1,170.0,400.0,12.0,5.526857064360267
2331.0,8,71,1,175.0,400.0,12.0,5.526857064360267
1344.0,6,71,1,110.0,258.0,13.5,7.652571319883447
1092.0,4,71,1,72.0,140.0,19.0,9.353142724301991
1489.0,6,71,1,100.0,250.0,15.0,8.077714170988083
1424.0,6,71,1,88.0,250.0,14.5,7.652571319883447
1007.0,4,71,1,86.0,122.0,14.0,9.778285575406628
963.0,4,71,2,90.0,116.0,14.0,11.903999830929807
941.0,4,71,2,70.0,79.0,19.5,12.754285533139079
937.0,4,71,2,76.0,88.0,14.5,12.754285533139079
804.0,4,71,3,65.0,71.0,19.0,13.179428384243714
732.0,4,71,3,69.0,72.0,18.0,14.879999788662259
832.0,4,71,2,60.0,97.0,19.0,11.47885697982517
887.0,4,71,1,70.0,91.0,20.5,11.053714128720534
1033.0,4,72,3,95.0,113.0,15.5,10.203428426511262
964.0,4,72,1,80.0,97.5,17.0,10.6285712776159
1022.0,4,72,2,54.0,97.0,23.5,9.778285575406628
1092.0,4,72,1,90.0,140.0,19.5,8.50285702209272
1010.0,4,72,1,86.0,122.0,16.5,8.927999873197354
1939.0,8,72,1,165.0,350.0,12.0,5.526857064360267
1989.0,8,72,1,175.0,400.0,12.0,5.951999915464904
1876.0,8,72,1,150.0,318.0,13.5,6.3771427665695395
1873.0,8,72,1,153.0,351.0,13.0,5.951999915464904
1666.0,8,72,1,150.0,304.0,11.5,7.227428468778811
2101.0,8,72,1,208.0,429.0,11.0,4.6765713621509954
2042.0,8,72,1,155.0,350.0,13.5,5.526857064360267
2021.0,8,72,1,160.0,350.0,13.5,5.101714213255631
2006.0,8,72,1,190.0,400.0,12.5,5.526857064360267
1057.0,3,72,3,97.0,70.0,13.5,8.077714170988083
1765.0,8,72,1,150.0,304.0,12.5,6.3771427665695395
1859.0,8,72,1,130.0,307.0,14.0,5.526857064360267
1948.0,8,72,1,140.0,302.0,16.0,5.526857064360267
1849.0,8,72,1,150.0,318.0,14.0,5.951999915464904
1330.0,4,72,2,112.0,121.0,14.5,7.652571319883447
1139.0,4,72,2,76.0,121.0,18.0,9.353142724301991
1351.0,4,72,2,87.0,120.0,19.5,8.927999873197354
993.0,4,72,2,69.0,96.0,18.0,11.053714128720534
1086.0,4,72,1,86.0,122.0,16.0,9.353142724301991
1038.0,4,72,3,92.0,97.0,17.0,11.903999830929807
1137.0,4,72,3,97.0,120.0,14.5,9.778285575406628
982.0,4,72,1,80.0,98.0,15.0,11.903999830929807
953.0,4,72,3,88.0,97.0,16.5,11.47885697982517
1860.0,8,73,1,175.0,350.0,13.0,5.526857064360267
1666.0,8,73,1,150.0,304.0,11.5,5.951999915464904
1809.0,8,73,1,145.0,350.0,13.0,5.526857064360267
1833.0,8,73,1,137.0,302.0,14.5,5.951999915464904
1713.0,8,73,1,150.0,318.0,12.5,6.3771427665695395
2246.0,8,73,1,198.0,429.0,11.5,5.101714213255631
2025.0,8,73,1,150.0,400.0,12.0,5.526857064360267
1979.0,8,73,1,158.0,351.0,13.0,5.526857064360267
1922.0,8,73,1,150.0,318.0,14.5,5.951999915464904
2148.0,8,73,1,215.0,440.0,11.0,5.526857064360267
2246.0,8,73,1,225.0,455.0,11.0,5.101714213255631
1733.0,8,73,1,175.0,360.0,11.0,5.526857064360267
1416.0,6,73,1,105.0,225.0,16.5,7.652571319883447
1487.0,6,73,1,100.0,250.0,18.0,6.802285617674174
1336.0,6,73,1,100.0,232.0,16.0,7.652571319883447
1370.0,6,73,1,88.0,250.0,16.5,7.652571319883447
1317.0,6,73,1,95.0,198.0,16.0,9.778285575406628
885.0,4,73,2,46.0,97.0,21.0,11.053714128720534
2267.0,8,73,1,150.0,400.0,14.0,4.6765713621509954
2225.0,8,73,1,167.0,400.0,12.5,5.101714213255631
2111.0,8,73,1,170.0,360.0,13.0,5.526857064360267
2041.0,8,73,1,180.0,350.0,12.5,5.101714213255631
1265.0,6,73,1,100.0,232.0,15.0,7.652571319883447
1034.0,4,73,3,88.0,97.0,19.0,8.50285702209272
1089.0,4,73,1,72.0,140.0,19.5,8.927999873197354
1079.0,4,73,3,94.0,108.0,16.5,9.353142724301991
963.0,3,73,3,90.0,70.0,13.5,7.652571319883447
1048.0,4,73,1,85.0,122.0,18.5,8.077714170988083
1121.0,6,73,1,107.0,155.0,14.0,8.927999873197354
1027.0,4,73,2,90.0,98.0,15.5,11.053714128720534
1852.0,8,73,1,145.0,350.0,13.0,6.3771427665695395
1940.0,8,73,1,230.0,400.0,9.5,6.802285617674174
847.0,4,73,2,49.0,68.0,19.5,12.329142682034442
979.0,4,73,2,75.0,116.0,15.5,10.203428426511262
1171.0,4,73,2,91.0,114.0,14.0,8.50285702209272
1301.0,4,73,2,112.0,121.0,15.5,8.077714170988083
1542.0,8,73,1,150.0,318.0,11.0,6.3771427665695395
1207.0,4,73,2,110.0,121.0,14.0,10.203428426511262
1273.0,6,73,3,122.0,156.0,13.5,8.50285702209272
1662.0,8,73,1,180.0,350.0,11.0,4.6765713621509954
1407.0,6,74,1,95.0,198.0,16.5,8.50285702209272
1316.0,6,74,1,100.0,232.0,16.0,8.077714170988083
1513.0,6,74,1,100.0,250.0,17.0,6.3771427665695395
885.0,4,74,3,67.0,79.0,19.0,13.179428384243714
1112.0,4,74,1,80.0,122.0,16.5,11.053714128720534
833.0,4,74,3,65.0,71.0,21.0,13.604571235348349
1153.0,4,74,1,75.0,140.0,17.0,10.6285712776159
1715.0,6,74,1,100.0,250.0,17.0,6.802285617674174
1647.0,6,74,1,110.0,258.0,18.0,6.802285617674174
1639.0,6,74,1,105.0,225.0,16.5,7.652571319883447
1878.0,8,74,1,140.0,302.0,14.0,6.802285617674174
2131.0,8,74,1,150.0,350.0,14.5,5.526857064360267
2022.0,8,74,1,150.0,318.0,13.5,5.951999915464904
2104.0,8,74,1,140.0,302.0,16.0,5.951999915464904
1931.0,8,74,1,150.0,304.0,15.5,5.951999915464904
1007.0,4,74,2,83.0,98.0,16.5,12.329142682034442
890.0,4,74,2,67.0,79.0,15.5,11.053714128720534
1043.0,4,74,2,78.0,97.0,14.5,11.053714128720534
748.0,4,74,3,52.0,76.0,16.5,13.179428384243714
909.0,4,74,3,61.0,83.0,19.0,13.604571235348349
964.0,4,74,1,75.0,90.0,14.5,11.903999830929807
956.0,4,74,2,75.0,90.0,15.5,10.203428426511262
1019.0,4,74,2,75.0,116.0,14.0,11.053714128720534
1129.0,4,74,3,97.0,120.0,15.0,10.203428426511262
1085.0,4,74,3,93.0,108.0,15.5,11.053714128720534
907.0,4,74,2,67.0,79.0,16.0,13.179428384243714
1481.0,6,75,1,95.0,225.0,16.0,8.077714170988083
1569.0,6,75,1,105.0,250.0,16.0,7.652571319883447
1557.0,6,75,1,72.0,250.0,21.0,6.3771427665695395
1432.0,6,75,1,72.0,250.0,19.5,6.3771427665695395
2117.0,8,75,1,170.0,400.0,11.5,6.802285617674174
2014.0,8,75,1,145.0,350.0,14.0,6.3771427665695395
2040.0,8,75,1,150.0,318.0,14.5,6.802285617674174
2112.0,8,75,1,148.0,351.0,13.5,5.951999915464904
1772.0,6,75,1,110.0,231.0,21.0,7.227428468778811
1768.0,6,75,1,105.0,250.0,18.5,6.802285617674174
1692.0,6,75,1,110.0,258.0,19.0,6.3771427665695395
1717.0,6,75,1,95.0,225.0,19.0,7.652571319883447
1378.0,6,75,1,110.0,231.0,15.0,8.927999873197354
1461.0,8,75,1,110.0,262.0,13.5,8.50285702209272
1437.0,8,75,1,129.0,302.0,12.0,5.526857064360267
985.0,4,75,3,75.0,97.0,16.0,12.329142682034442
1197.0,4,75,1,83.0,140.0,17.0,9.778285575406628
1322.0,6,75,1,100.0,232.0,16.0,8.50285702209272
1176.0,4,75,1,78.0,140.0,18.5,9.778285575406628
1226.0,4,75,3,96.0,134.0,13.5,10.203428426511262
1008.0,4,75,2,71.0,90.0,16.5,10.6285712776159
1154.0,4,75,3,97.0,119.0,17.0,10.203428426511262
1354.0,6,75,1,97.0,171.0,14.5,7.652571319883447
879.0,4,75,2,70.0,90.0,14.0,12.329142682034442
1456.0,6,75,1,90.0,232.0,17.0,8.077714170988083
1222.0,4,75,2,95.0,115.0,15.0,9.778285575406628
1341.0,4,75,2,88.0,120.0,17.0,9.778285575406628
1336.0,4,75,2,98.0,121.0,14.5,9.353142724301991
1212.0,4,75,2,115.0,121.0,13.5,10.6285712776159
814.0,4,75,3,53.0,91.0,17.5,14.029714086452987
1118.0,4,76,2,86.0,107.0,15.5,11.903999830929807
1007.0,4,76,2,81.0,116.0,16.9,10.6285712776159
1167.0,4,76,1,92.0,140.0,14.9,10.6285712776159
1023.0,4,76,1,79.0,98.0,17.7,11.053714128720534
999.0,4,76,2,83.0,101.0,15.3,11.47885697982517
1912.0,8,76,1,140.0,305.0,13.0,7.439999894331129
1901.0,8,76,1,150.0,318.0,13.0,6.802285617674174
1797.0,8,76,1,120.0,304.0,13.9,6.589714192121857
1912.0,8,76,1,152.0,351.0,12.8,6.164571341017221
1466.0,6,76,1,100.0,225.0,15.4,9.353142724301991
1521.0,6,76,1,105.0,250.0,14.5,9.353142724301991
1366.0,6,76,1,81.0,200.0,17.6,10.203428426511262
1399.0,6,76,1,90.0,232.0,17.6,9.565714149854308
923.0,4,76,1,52.0,85.0,22.2,12.329142682034442
982.0,4,76,1,60.0,98.0,22.1,10.41599985206358
879.0,4,76,2,70.0,90.0,14.2,12.329142682034442
814.0,4,76,3,53.0,91.0,17.4,14.029714086452987
1656.0,6,76,1,100.0,225.0,17.7,8.50285702209272
1621.0,6,76,1,78.0,250.0,21.0,7.652571319883447
1653.0,6,76,1,110.0,250.0,16.2,7.865142745435765
1448.0,6,76,1,95.0,258.0,17.8,7.439999894331129
828.0,4,76,2,71.0,97.0,12.2,12.54171410758676
903.0,4,76,3,70.0,85.0,17.0,13.604571235348349
977.0,4,76,3,75.0,97.0,16.4,11.903999830929807
1163.0,4,76,1,72.0,140.0,13.6,11.266285554272851
1429.0,4,76,2,102.0,130.0,15.7,8.50285702209272
1787.0,8,76,1,150.0,318.0,13.2,5.526857064360267
1483.0,4,76,2,88.0,120.0,21.9,8.077714170988083
1329.0,6,76,3,108.0,156.0,15.5,8.077714170988083
1733.0,6,76,2,120.0,168.0,16.7,7.014857043226494
1987.0,8,76,1,180.0,350.0,12.1,7.014857043226494
1839.0,8,76,1,145.0,350.0,12.0,5.526857064360267
1755.0,8,76,1,130.0,302.0,15.0,5.526857064360267
1703.0,8,76,1,150.0,318.0,14.0,5.526857064360267
928.0,4,77,3,68.0,98.0,18.5,13.391999809796031
977.0,4,77,1,80.0,111.0,14.8,12.754285533139079
828.0,4,77,2,58.0,79.0,18.6,15.305142639766894
1043.0,4,77,1,96.0,122.0,15.5,10.841142703168217
882.0,4,77,3,70.0,85.0,16.8,14.242285512005303
1760.0,8,77,1,145.0,305.0,12.5,7.439999894331129
1842.0,8,77,1,110.0,260.0,19.0,7.227428468778811
1878.0,8,77,1,145.0,318.0,13.7,6.589714192121857
1948.0,8,77,1,130.0,302.0,14.9,6.3771427665695395
1597.0,6,77,1,110.0,250.0,16.4,7.439999894331129
1554.0,6,77,1,105.0,231.0,16.9,8.715428447645037
1647.0,6,77,1,100.0,225.0,17.7,8.077714170988083
1599.0,6,77,1,98.0,250.0,19.0,7.865142745435765
1914.0,8,77,1,180.0,400.0,11.1,6.802285617674174
1889.0,8,77,1,170.0,350.0,11.4,6.589714192121857
1962.0,8,77,1,190.0,400.0,12.2,6.589714192121857
1966.0,8,77,1,149.0,351.0,14.5,6.802285617674174
880.0,4,77,2,78.0,97.0,14.5,12.329142682034442
1243.0,4,77,1,88.0,151.0,16.0,10.41599985206358
1027.0,4,77,3,75.0,97.0,18.2,11.053714128720534
1250.0,4,77,1,89.0,140.0,15.8,10.841142703168217
930.0,4,77,1,63.0,98.0,17.0,12.966856958691396
941.0,4,77,1,83.0,98.0,15.9,14.242285512005303
900.0,4,77,3,67.0,97.0,16.4,12.754285533139079
993.0,4,77,2,78.0,97.0,14.1,12.966856958691396
1277.0,6,77,3,97.0,146.0,14.5,9.353142724301991
1179.0,4,77,2,110.0,121.0,12.8,9.140571298749672
1234.0,3,77,3,110.0,80.0,13.5,9.140571298749672
900.0,4,78,2,48.0,90.0,21.5,18.32365688260981
816.0,4,78,1,66.0,98.0,14.4,15.347656924877356
900.0,4,78,3,52.0,78.0,19.4,13.944685516232058
939.0,4,78,3,70.0,85.0,18.6,16.750628333522656
816.0,4,78,3,60.0,91.0,16.4,15.347656924877356
1526.0,8,78,1,110.0,260.0,15.5,8.460342736982254
1694.0,8,78,1,140.0,318.0,13.2,8.247771311429936
1619.0,8,78,1,139.0,302.0,12.8,8.587885592313645
1603.0,6,78,1,105.0,231.0,19.2,8.162742741209009
1431.0,6,78,1,95.0,200.0,18.2,8.715428447645037
1345.0,6,78,1,85.0,200.0,15.8,8.587885592313645
1234.0,4,78,1,88.0,140.0,15.4,10.671085562726363
1556.0,6,78,1,100.0,225.0,17.2,8.715428447645037
1456.0,6,78,1,90.0,232.0,17.2,8.247771311429936
1533.0,6,78,1,105.0,231.0,15.8,8.7579427327555
1393.0,6,78,1,85.0,200.0,16.7,8.842971302976428
1642.0,6,78,1,110.0,225.0,18.7,7.907657030546228
1547.0,6,78,1,120.0,258.0,15.1,7.695085604993912
1554.0,8,78,1,145.0,305.0,13.2,8.162742741209009
1563.0,6,78,1,165.0,231.0,13.4,7.525028464552055
1454.0,8,78,1,139.0,302.0,11.2,7.695085604993912
1851.0,8,78,1,140.0,318.0,13.7,7.439999894331129
977.0,4,78,1,68.0,98.0,16.5,12.754285533139079
1161.0,4,78,3,95.0,134.0,14.2,11.691428405377488
1043.0,4,78,3,97.0,119.0,14.7,11.563885550046097
1012.0,4,78,1,75.0,105.0,14.5,13.136914099133248
1141.0,4,78,3,95.0,134.0,14.8,8.97051415830782
1245.0,4,78,1,105.0,156.0,16.7,9.863314145627553
1295.0,4,78,1,85.0,151.0,17.6,10.118399856290335
1091.0,4,78,3,97.0,119.0,14.9,10.160914141400799
1284.0,5,78,2,103.0,131.0,15.9,8.630399877424109
1424.0,6,78,2,125.0,163.0,13.6,7.227428468778811
1268.0,4,78,2,115.0,121.0,15.7,9.183085583860137
1547.0,6,78,2,133.0,163.0,15.8,6.887314187895102
903.0,4,78,2,71.0,89.0,14.9,13.391999809796031
968.0,4,78,3,68.0,98.0,16.6,12.54171410758676
1472.0,6,79,1,115.0,231.0,15.4,9.140571298749672
1356.0,6,79,1,85.0,200.0,18.2,8.417828451871792
1311.0,4,79,1,88.0,140.0,17.3,9.480685579633382
1481.0,6,79,1,90.0,232.0,18.2,8.587885592313645
1524.0,6,79,1,110.0,225.0,16.6,8.7579427327555
1742.0,8,79,1,130.0,305.0,15.4,7.227428468778811
1690.0,8,79,1,129.0,302.0,13.4,7.482514179441592
1794.0,8,79,1,138.0,351.0,13.2,7.014857043226494
1737.0,8,79,1,135.0,318.0,15.2,7.7375998901043745
1978.0,8,79,1,155.0,350.0,14.9,7.184914183668346
1839.0,8,79,1,142.0,351.0,14.3,6.589714192121857
1635.0,8,79,1,125.0,267.0,15.0,8.162742741209009
1787.0,8,79,1,150.0,360.0,13.0,7.865142745435765
873.0,4,79,2,71.0,89.0,14.0,13.562056950237887
896.0,4,79,3,65.0,86.0,15.2,14.497371222668088
869.0,4,79,1,80.0,98.0,14.4,15.177599784435504
1211.0,4,79,1,80.0,121.0,15.0,11.648914120267023
1601.0,5,79,2,77.0,183.0,20.1,10.798628418057753
1769.0,8,79,1,125.0,350.0,17.4,9.778285575406628
1447.0,4,79,2,71.0,141.0,24.8,11.563885550046097
1551.0,8,79,1,90.0,260.0,22.2,10.160914141400799
998.0,4,79,1,70.0,105.0,13.2,14.53988550777855
975.0,4,79,1,70.0,105.0,14.9,14.66742836310994
916.0,4,79,3,65.0,85.0,19.2,13.519542665127423
966.0,4,79,2,69.0,91.0,14.7,15.85782834620292
1211.0,4,79,1,90.0,151.0,16.0,12.07405697137166
1177.0,6,79,1,115.0,173.0,11.3,12.244114111813515
1225.0,6,79,1,115.0,173.0,12.9,11.393828409604243
1159.0,4,79,1,90.0,151.0,13.2,14.242285512005303
973.0,4,80,2,76.0,98.0,14.7,17.64342832084239
893.0,4,80,3,60.0,89.0,18.8,16.19794262708663
962.0,4,80,1,70.0,98.0,15.5,13.647085520458816
916.0,4,80,3,65.0,86.0,16.4,15.815314061092456
1215.0,4,80,1,90.0,151.0,16.5,11.903999830929807
1302.0,4,80,1,88.0,140.0,18.1,11.22377126916239
1362.0,4,80,1,90.0,151.0,20.1,10.330971281842654
1534.0,6,80,1,90.0,225.0,18.7,8.120228456098546
992.0,4,80,2,78.0,97.0,15.8,14.58239979288901
1230.0,4,80,3,90.0,134.0,15.5,12.669256962918151
1153.0,4,80,3,75.0,120.0,17.5,13.306971239575104
1104.0,4,80,3,92.0,119.0,15.0,15.73028549087153
1027.0,4,80,3,75.0,108.0,15.2,13.689599805569278
957.0,4,80,3,65.0,86.0,17.9,19.811656861476035
1270.0,4,80,1,105.0,156.0,14.4,11.861485545819342
957.0,4,80,3,65.0,85.0,19.2,17.345828325069146
946.0,4,80,2,48.0,90.0,21.7,18.83382830393537
1059.0,4,80,2,48.0,90.0,23.7,18.4511997379412
1338.0,5,80,2,67.0,121.0,19.9,15.475199780208749
1474.0,4,80,2,67.0,146.0,21.8,12.754285533139079
839.0,4,80,3,67.0,91.0,13.8,18.961371159266765
973.0,4,80,3,67.0,97.0,18.0,14.369828367336693
837.0,4,80,2,62.0,89.0,15.3,12.669256962918151
1320.0,6,80,3,132.0,168.0,11.4,13.902171231121597
1098.0,3,80,3,100.0,70.0,12.5,10.075885571179871
1134.0,4,80,2,88.0,122.0,15.1,14.879999788662259
1039.0,4,80,3,72.0,107.0,17.0,13.774628375790204
1129.0,4,81,1,84.0,135.0,15.7,11.563885550046097
1195.0,4,81,1,84.0,151.0,16.4,11.308799839383317
1188.0,4,81,1,92.0,156.0,14.4,10.968685558499606
1236.0,6,81,1,110.0,173.0,12.6,9.990857000958943
1082.0,4,81,1,84.0,135.0,12.9,12.754285533139079
796.0,4,81,3,58.0,79.0,16.9,16.623085478191268
850.0,4,81,1,64.0,86.0,16.4,16.580571193080804
798.0,4,81,3,60.0,81.0,16.1,14.922514073772723
937.0,4,81,3,67.0,97.0,17.8,13.732114090679739
896.0,4,81,3,65.0,85.0,19.4,15.73028549087153
930.0,4,81,3,62.0,89.0,17.3,16.027885486644777
900.0,4,81,3,68.0,91.0,16.0,14.497371222668088
1005.0,4,81,1,63.0,105.0,14.9,14.752456933330869
928.0,4,81,1,65.0,98.0,16.2,14.624914077999478
1080.0,4,81,1,65.0,98.0,20.7,12.711771248028613
993.0,4,81,2,74.0,105.0,14.2,14.029714086452987
1002.0,4,81,3,75.0,107.0,14.4,14.327314082226232
1066.0,4,81,3,75.0,108.0,16.8,13.774628375790204
1186.0,4,81,3,100.0,119.0,14.8,13.987199801342522
1195.0,4,81,3,74.0,120.0,18.3,13.434514094906497
1465.0,4,81,2,80.0,141.0,20.4,11.94651411604027
1433.0,6,81,2,76.0,145.0,19.6,13.051885528912322
1315.0,6,81,3,116.0,168.0,12.6,10.798628418057753
1329.0,6,81,3,120.0,146.0,13.8,10.288456996732188
1549.0,6,81,1,110.0,231.0,15.8,9.523199864743845
1690.0,8,81,1,105.0,350.0,19.0,11.308799839383317
1388.0,6,81,1,88.0,200.0,17.1,8.587885592313645
1572.0,6,81,1,85.0,225.0,16.6,7.482514179441592
1182.0,4,82,1,88.0,112.0,19.6,11.903999830929807
1197.0,4,82,1,88.0,112.0,18.6,11.47885697982517
1086.0,4,82,1,88.0,112.0,18.0,14.454856937557622
1168.0,4,82,1,85.0,112.0,16.2,13.179428384243714
1145.0,4,82,1,84.0,135.0,16.0,12.329142682034442
1241.0,4,82,1,90.0,151.0,18.0,11.47885697982517
1300.0,4,82,1,92.0,140.0,16.4,10.203428426511262
898.0,4,82,2,74.0,105.0,15.3,15.305142639766894
919.0,4,82,3,68.0,91.0,18.2,15.73028549087153
894.0,4,82,3,68.0,91.0,17.6,13.179428384243714
964.0,4,82,1,63.0,105.0,14.7,16.155428341976165
964.0,4,82,1,70.0,98.0,17.3,15.305142639766894
980.0,4,82,3,88.0,120.0,14.5,15.305142639766894
1000.0,4,82,3,75.0,107.0,14.5,15.305142639766894
1018.0,4,82,3,70.0,108.0,16.9,14.454856937557622
891.0,4,82,3,67.0,91.0,15.0,16.155428341976165
891.0,4,82,3,67.0,91.0,15.7,13.604571235348349
905.0,4,82,3,67.0,91.0,16.2,16.155428341976165
1336.0,6,82,1,110.0,181.0,16.4,10.6285712776159
1368.0,6,82,1,85.0,262.0,17.0,16.155428341976165
1173.0,4,82,1,92.0,156.0,14.5,11.053714128720534
1286.0,6,82,1,112.0,232.0,14.7,9.353142724301991
1209.0,4,82,3,96.0,144.0,13.9,13.604571235348349
1075.0,4,82,1,84.0,135.0,13.0,15.305142639766894
1338.0,4,82,1,90.0,151.0,17.3,11.47885697982517
1266.0,4,82,1,86.0,140.0,15.6,11.47885697982517
966.0,4,82,2,52.0,97.0,24.6,18.706285448603982
1041.0,4,82,1,84.0,135.0,11.6,13.604571235348349
1191.0,4,82,1,79.0,120.0,18.6,11.903999830929807
1234.0,4,82,1,82.0,119.0,19.4,13.179428384243714
