v01,v02,v03,v1,v3_1,v3_2,v3_3,v4_1,v4_2,v4_3,v4_4,v4_5,v4_6,v5_1,v5_2,v5_3,v6_1,v6_2,v6_3,v7_1,v7_2,v7_3,v7_4,v7_5,v7_6,v7_7,v7_8,v8_1,v8_2,v8_3,v8_4,v9_1,v9_2,v9_3,a8_1,a8_2,a8_3,a9_1,a9_2,a9_3,v10_1,v10_2,v10_3,v11_1,v11_2,v11_3,v12,v13,v14
0,1,1,1,2,2,3,2,4,4,3,3,2,4,3,4,2,2,3,4,2,3,3,2,2,2,1,3,2,2,2,3,3,3,4,4,4,4,4,4,2,4,4,2,3,2,1,26,7
0,1,2,1,4,4,4,3,4,4,2,5,2,5,5,5,3,4,4,2,2,4,4,2,2,1,4,4,5,4,4,4,3,4,4,4,3,4,4,3,4,2,3,5,4,4,2,23,4
0,1,3,2,3,4,2,3,3,3,3,4,4,5,5,5,4,4,4,2,4,4,2,2,2,2,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,3,2,23,3
0,1,4,2,4,4,3,4,4,4,4,4,1,2,3,2,4,4,2,1,1,3,3,2,3,1,1,3,3,3,3,3,2,3,5,5,5,5,5,3,5,5,4,4,4,4,2,22,2
0,1,5,2,4,3,3,3,3,4,4,4,3,5,5,5,2,3,3,2,2,2,2,2,2,1,1,4,4,4,4,4,4,4,4,4,5,4,3,4,1,1,4,4,4,4,2,23,7
0,1,7,1,3,3,3,3,3,2,3,2,2,1,1,1,2,3,2,3,2,3,3,3,3,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,4,3,3,1,28,4
0,1,9,2,3,3,3,3,4,3,4,4,2,1,1,1,2,2,1,2,2,2,2,2,2,2,1,3,3,3,5,3,2,1,2,2,2,1,1,1,4,4,4,3,4,3,1,21,1
0,1,10,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,2,4,4,3,3,2,3,3,3,3,2,3,3,3,2,3,3,4,4,3,4,4,4,4,4,3,2,22,3
0,1,11,2,4,3,4,4,5,3,4,3,4,3,3,3,3,4,3,3,4,4,3,3,4,3,4,3,4,3,4,3,4,4,3,4,3,3,4,3,3,4,3,4,4,3,2,31,5
0,1,12,1,3,4,4,4,3,3,3,4,3,2,2,4,1,1,1,3,1,5,5,2,2,1,1,4,4,4,2,4,5,5,1,1,1,2,2,2,1,1,1,5,5,5,1,25,7
0,1,13,2,3,2,2,2,2,2,3,3,2,1,1,1,4,5,4,3,3,3,2,2,2,2,3,4,3,3,3,4,4,2,3,3,3,2,2,2,2,2,4,3,3,2,1,24,1
0,1,14,2,4,3,3,4,4,3,4,3,2,1,1,1,4,4,2,3,1,2,2,1,2,1,1,3,4,4,3,3,3,3,2,2,2,3,3,3,3,2,3,4,3,4,1,25,4
0,1,15,2,2,2,3,3,2,2,2,2,1,4,4,4,4,4,4,3,2,4,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,2,23,3
0,1,16,2,2,2,4,4,4,3,3,4,2,5,5,5,3,4,3,2,2,2,2,2,2,2,2,3,3,4,2,4,4,4,4,3,3,3,4,3,3,3,3,3,3,2,2,23,3
0,1,17,2,1,2,4,4,4,4,4,2,1,4,4,2,5,5,5,4,2,5,5,2,2,2,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,4,2,4,4,4,2,24,4
0,1,18,2,3,3,3,2,4,2,3,4,3,5,5,5,5,5,5,3,2,4,3,2,2,1,1,3,3,3,3,4,3,3,3,2,4,4,3,4,4,4,3,4,3,4,2,22,4
0,1,20,2,3,4,4,3,3,4,3,4,3,5,5,5,5,5,5,3,2,2,2,1,1,1,1,3,3,3,3,4,4,3,3,3,4,4,4,3,2,3,3,2,2,2,2,23,2
0,1,21,2,3,3,3,4,3,4,2,4,4,3,4,3,4,2,3,3,4,4,4,3,4,4,3,4,4,2,3,4,4,3,3,4,4,3,3,3,4,3,3,3,3,4,1,24,4
0,1,22,2,3,3,4,3,3,3,3,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,4,3,4,4,4,4,2,21,7
0,1,23,2,2,3,3,1,2,3,3,3,1,4,4,2,4,4,2,4,3,5,3,3,4,3,4,3,2,2,1,4,4,3,4,5,5,4,5,4,4,5,5,2,2,2,2,22,2
0,1,24,2,2,4,4,3,4,2,2,3,2,5,5,5,4,4,4,3,4,4,2,2,2,2,2,3,3,3,2,3,3,3,3,4,4,2,2,2,3,3,3,3,4,3,2,22,3
0,1,25,1,4,4,5,5,4,3,4,3,3,4,4,3,4,5,4,2,2,2,2,2,2,2,2,4,4,4,4,5,5,5,1,1,1,1,1,1,2,2,4,4,4,4,1,22,5
0,1,26,2,3,4,4,4,4,4,4,4,2,5,5,5,4,4,4,2,3,4,4,2,2,2,2,4,4,4,3,4,4,4,3,3,4,3,3,2,4,3,4,5,5,4,2,23,5
0,1,27,1,4,4,4,4,3,3,3,4,3,2,2,1,2,2,1,1,1,1,1,1,2,1,2,4,4,4,4,4,4,4,2,2,2,2,2,1,3,2,4,4,4,3,1,25,2
0,1,28,2,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,1,20,1
0,1,29,2,2,3,4,2,3,3,2,4,3,3,3,4,3,3,2,2,2,4,4,3,2,1,1,3,3,3,3,3,3,3,2,2,2,3,3,3,3,2,3,4,4,3,2,23,3
0,1,30,1,4,3,3,3,3,2,2,3,2,4,4,2,1,2,1,2,2,2,3,2,3,1,1,3,3,3,2,3,4,2,4,4,3,4,3,3,2,2,4,4,4,3,1,24,4
0,1,31,2,2,2,3,2,3,2,2,4,4,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,3,3,2,4,3,2,5,5,5,5,5,5,4,2,4,4,4,3,1,24,4
0,1,32,2,3,2,4,4,4,4,4,4,4,2,2,2,3,4,3,2,2,4,3,2,2,2,2,3,4,4,2,3,3,2,2,2,2,2,2,2,4,4,3,4,4,4,1,24,4
0,1,34,2,5,5,5,5,5,5,5,5,3,1,2,4,3,2,4,1,1,4,1,1,1,1,1,4,4,4,4,4,4,4,2,2,2,1,1,1,5,1,4,5,5,5,2,22,4
0,1,35,2,2,2,4,4,4,3,3,4,3,5,5,5,2,4,3,3,3,4,2,2,2,2,3,3,3,2,2,4,4,4,4,4,4,2,2,2,4,4,4,4,3,3,2,22,3
0,1,36,1,3,2,2,3,2,2,2,4,1,2,1,1,2,2,2,3,1,4,4,3,3,2,1,3,3,3,3,4,4,3,2,2,2,2,2,2,4,2,4,3,4,3,1,27,7
0,1,37,2,2,2,3,3,2,2,2,2,2,2,2,2,1,1,1,3,3,3,2,2,2,1,2,4,3,3,3,4,4,3,2,2,2,2,2,2,3,4,2,4,4,3,1,26,5
0,1,38,2,4,3,4,3,4,4,3,4,3,5,5,5,5,5,5,2,2,2,2,2,2,2,2,4,4,4,3,4,4,3,4,3,3,3,3,3,4,4,3,4,4,3,2,22,4
0,1,39,1,3,3,3,3,3,2,2,3,2,4,4,5,3,3,3,4,3,4,4,3,3,2,4,3,3,3,3,4,4,3,3,3,4,3,3,4,4,5,4,4,3,3,2,22,2
0,1,40,1,3,3,3,2,3,4,3,3,3,4,4,4,4,4,4,4,2,3,2,2,2,2,2,4,3,4,3,3,3,3,4,3,4,4,4,4,4,2,3,4,4,4,1,24,2
0,1,41,2,1,2,3,3,3,2,2,2,2,3,3,2,3,3,3,3,1,4,4,3,4,1,1,3,2,3,3,3,3,3,3,4,3,3,3,4,3,4,3,4,4,3,1,27,3
0,1,42,2,2,2,2,2,2,2,3,4,1,4,4,4,4,2,3,3,3,4,2,3,4,2,3,4,4,4,2,4,4,3,5,4,4,4,4,5,3,3,2,4,4,4,2,23,4
0,1,43,2,3,4,4,4,4,3,3,2,4,2,2,2,4,4,4,2,1,2,2,2,2,1,1,4,4,4,3,4,4,2,1,1,3,4,5,4,1,1,3,4,5,4,1,22,3
0,1,44,2,3,2,2,3,3,3,3,3,3,5,5,5,2,4,3,3,2,4,4,3,3,2,2,3,3,3,3,3,3,3,3,2,2,3,3,3,4,2,3,3,4,3,2,23,4
0,1,45,2,2,3,2,3,4,4,3,3,2,2,3,3,4,3,3,3,3,4,4,2,2,3,3,4,4,5,2,4,4,5,2,2,1,2,2,2,4,4,4,4,2,3,1,24,6
0,1,46,2,1,1,2,4,4,2,3,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,3,3,1,5,5,4,2,1,3,1,1,1,3,1,3,4,4,3,1,25,5
0,1,47,2,2,2,3,3,4,4,4,4,3,4,3,4,3,2,2,4,2,5,3,4,2,1,1,3,3,3,3,4,4,3,4,4,5,5,5,5,5,3,4,4,3,3,2,22,3
0,1,48,2,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,1,2,2,2,2,5,5,5,3,5,5,5,2,2,2,2,2,2,2,2,2,4,4,5,1,24,3
0,1,49,1,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,3,3,3,2,4,4,3,2,2,2,2,2,2,2,2,3,3,3,3,1,26,4
0,1,50,1,3,4,4,5,5,5,5,4,4,5,5,5,4,4,5,2,2,2,4,4,4,4,4,4,5,5,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,24,3
0,1,51,2,2,2,4,5,5,5,5,3,2,4,4,5,4,4,5,2,4,4,4,3,2,3,4,2,3,3,2,4,4,3,4,5,5,5,5,5,4,3,4,3,3,4,2,23,6
0,1,52,1,3,4,4,4,3,3,3,3,3,4,4,2,2,3,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,3,3,3,3,3,3,4,4,2,3,4,3,3,1,27,3
0,1,53,2,4,3,3,2,2,3,3,4,3,3,4,4,4,4,4,3,2,2,2,2,2,1,2,3,4,3,2,3,3,3,4,3,3,3,2,2,2,2,4,4,4,4,1,26,3
0,1,54,1,4,5,3,4,4,3,3,5,4,4,4,1,3,3,3,3,2,1,1,1,1,2,1,4,4,5,5,4,4,5,3,3,4,3,2,4,3,3,2,4,3,5,1,25,6
0,1,55,1,4,4,4,2,4,4,4,2,2,2,5,5,4,4,4,2,2,4,4,2,2,1,2,4,4,4,3,4,4,4,3,3,3,3,3,3,4,3,4,4,3,3,2,23,4
0,1,57,2,3,4,3,3,2,1,1,4,2,4,4,4,5,5,5,2,3,2,3,3,3,2,3,3,3,4,2,4,4,4,3,4,4,4,4,2,4,4,4,4,4,3,2,23,3
0,1,58,1,2,2,4,3,2,2,3,3,2,5,3,5,5,4,4,2,2,3,2,1,2,2,2,3,3,2,2,4,4,4,2,2,2,2,2,2,4,1,3,5,4,4,2,23,4
0,1,59,1,4,4,4,3,4,4,4,4,4,3,2,2,2,3,2,2,2,2,2,2,2,1,2,4,4,4,3,4,4,4,2,2,2,2,2,2,3,2,4,4,4,3,1,25,7
0,1,60,2,3,3,4,2,4,4,3,4,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,21,2
0,1,61,1,3,3,4,4,4,3,3,4,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,4,4,3,4,4,4,2,2,2,2,2,2,2,2,2,3,3,3,1,20,1
0,1,62,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,4,3,3,2,1,3,3,3,4,3,2,1,2,3,3,4,4,3,4,4,4,3,3,4,4,22,3
0,1,63,1,3,4,3,2,3,3,3,4,2,4,4,4,4,4,4,2,1,2,2,1,1,1,1,3,2,2,3,2,3,2,4,3,3,4,4,4,3,2,3,3,3,3,2,20,2
0,1,64,2,3,4,5,3,4,5,4,4,3,3,4,4,3,2,3,3,3,4,4,4,3,3,4,3,3,3,3,3,4,4,3,4,3,3,2,2,4,3,4,4,3,4,2,20,3
0,1,65,2,1,2,4,2,2,4,3,2,3,4,4,5,4,5,5,3,1,2,4,3,3,2,2,3,2,2,3,3,3,3,4,5,3,2,2,2,2,1,3,4,3,4,2,20,1
0,1,66,2,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,2,2,2,1,2,2,2,4,4,4,4,5,5,5,3,3,3,3,3,3,2,2,3,4,4,3,2,20,4
0,1,67,2,3,3,2,2,4,4,3,3,3,3,3,4,4,4,4,2,2,4,3,3,3,1,1,4,4,4,3,4,4,4,3,3,3,3,3,3,3,2,3,4,4,3,2,21,4
0,1,68,2,4,4,4,4,4,2,3,4,3,1,1,1,4,4,1,1,1,1,1,1,1,1,1,4,4,4,4,3,3,3,2,2,2,2,2,2,4,1,3,3,3,3,1,24,3
0,1,71,2,5,3,3,2,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,3,3,3,3,3,3,3,3,3,3,1,1,4,4,4,2,1,28,7
0,1,72,2,2,1,3,3,2,1,1,3,3,1,1,1,1,1,1,3,1,1,2,1,1,1,1,3,3,3,3,3,3,3,2,2,3,2,2,2,4,4,4,4,3,2,1,23,4
0,1,73,2,3,4,4,4,4,2,2,4,4,5,5,2,4,4,4,2,2,2,2,2,2,2,2,4,4,4,3,4,4,3,4,4,4,3,4,2,5,2,2,5,4,4,1,24,4
0,1,74,2,3,3,3,4,3,2,3,3,4,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,1,1,1,1,1,3,2,4,3,3,2,1,24,4
0,1,75,2,3,3,4,4,4,4,4,4,4,3,3,2,4,4,2,3,2,3,3,2,2,2,2,3,3,3,3,4,4,4,3,3,3,2,1,1,2,2,2,4,4,3,2,24,7
0,1,76,2,3,4,4,3,3,4,3,4,2,5,5,5,4,4,5,2,2,3,3,2,2,2,2,3,3,3,3,4,4,4,3,3,3,3,3,2,4,2,3,4,4,3,2,24,7
0,1,77,2,4,4,4,4,4,3,3,3,3,2,2,2,4,4,4,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,1,2,4,4,4,1,25,3
0,1,78,2,3,3,3,3,4,4,3,2,2,5,5,3,2,3,4,3,2,2,1,1,1,2,2,3,3,2,1,2,3,2,3,4,3,2,3,2,4,2,2,4,2,4,2,23,3
0,1,79,2,2,2,2,3,3,2,2,3,3,2,2,2,4,4,4,4,1,4,2,2,3,1,1,3,2,2,1,3,3,2,4,4,4,4,4,5,4,4,2,4,4,4,1,24,4
0,1,81,2,2,3,2,3,3,3,3,3,3,4,4,4,2,2,2,2,1,3,2,1,3,1,1,4,4,4,3,4,3,3,2,2,2,2,2,2,3,3,2,4,4,4,2,22,3
0,1,82,2,4,3,4,4,5,5,5,4,3,3,3,3,5,5,5,2,2,3,3,3,3,1,1,3,3,3,3,4,4,4,3,3,3,3,3,3,3,5,4,3,3,3,2,20,6
0,1,83,2,2,3,4,4,4,2,3,3,2,4,4,4,2,4,4,3,3,4,4,3,3,3,3,3,3,3,3,4,3,4,4,2,3,4,4,3,4,3,2,4,4,4,2,21,2
0,1,84,2,3,3,3,3,4,4,2,2,2,4,4,2,4,4,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,3,3,2,3,2,2,2,3,3,3,2,20,3
0,1,85,1,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,4,2,3,3,3,3,2,2,4,4,4,4,4,4,4,5,5,5,5,5,3,2,4,2,5,5,5,2,21,3
0,1,86,1,3,2,3,3,3,3,3,3,3,2,2,4,4,4,4,2,1,1,1,1,2,1,3,4,4,4,2,3,3,3,3,2,3,2,2,2,3,3,3,3,3,3,1,24,3
0,1,87,1,1,1,1,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,2,2,2,4,4,4,1,20,3
0,1,88,1,3,3,5,4,5,5,5,4,3,5,5,5,5,5,5,2,2,3,2,2,2,2,1,3,2,2,4,4,4,4,5,5,5,3,3,4,4,4,3,5,5,3,2,20,4
0,1,89,2,3,4,4,4,4,3,4,5,3,4,4,5,4,4,4,2,3,3,2,1,1,2,2,4,4,4,4,4,4,4,4,3,5,5,5,4,1,3,1,5,5,5,2,22,7
0,1,90,2,4,4,4,4,4,4,4,2,2,5,4,4,4,4,4,2,2,2,4,4,3,2,4,3,3,2,2,4,4,3,4,3,3,4,4,4,4,4,3,4,4,4,2,23,3
0,1,91,1,3,4,2,4,3,3,3,4,2,5,4,4,4,4,4,2,1,2,2,2,1,1,1,4,4,4,4,4,4,4,2,2,2,2,2,2,2,3,2,4,4,4,2,22,7
0,1,92,2,3,3,4,3,4,3,3,3,2,5,5,5,3,4,4,3,3,4,3,3,3,2,2,3,3,3,3,4,3,3,3,3,4,4,4,4,4,3,3,4,3,3,2,22,2
0,1,93,2,3,3,5,2,5,5,3,4,1,5,5,5,5,5,5,2,1,5,5,3,1,1,1,3,3,3,3,4,4,4,2,2,2,2,1,1,5,5,4,4,2,2,2,20,3
0,1,94,2,3,4,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,3,3,3,4,4,4,3,1,25,4
0,1,95,2,4,4,4,3,4,4,4,3,4,2,2,2,2,4,2,2,1,3,3,2,2,1,1,4,4,4,4,4,4,3,1,1,1,1,3,2,4,4,5,5,5,4,1,23,3
0,1,96,1,3,3,3,3,2,2,2,4,2,5,5,2,2,3,2,3,3,3,3,2,2,2,2,3,3,3,3,4,4,4,2,3,2,2,2,2,2,2,2,4,3,4,2,24,5
0,1,97,2,3,3,4,5,5,3,5,5,3,5,5,5,1,1,1,3,4,2,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,2,2,2,1,4,1,5,5,5,1,25,3
0,1,98,2,4,4,3,4,4,4,2,3,2,5,5,5,2,4,4,4,2,5,4,3,4,2,2,3,3,3,2,4,4,3,4,4,4,4,4,4,3,2,4,4,4,3,2,23,2
0,1,99,1,4,4,4,4,4,3,3,4,3,5,5,5,1,5,4,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,3,2,2,2,1,2,5,5,5,2,24,1
0,1,100,2,4,3,2,3,3,3,3,3,3,2,2,2,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,2,2,2,3,3,3,3,3,3,4,4,4,1,26,5
0,1,103,2,3,3,4,4,4,4,4,4,4,2,2,2,4,4,4,2,2,2,2,2,2,2,2,3,4,4,2,4,4,3,4,4,4,4,4,4,2,2,3,4,4,4,1,24,4
0,1,104,2,3,4,3,3,4,5,5,5,4,5,5,5,5,5,5,3,2,5,4,3,2,1,3,3,3,3,3,4,4,3,3,3,3,2,2,2,4,4,5,5,5,3,2,20,4
0,1,105,2,3,4,4,4,4,4,2,3,2,4,4,4,4,4,4,3,2,4,4,3,2,2,2,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,20,2
0,1,106,1,4,3,4,3,4,4,4,4,4,5,5,5,4,3,3,4,2,4,4,3,3,2,2,3,3,3,3,4,4,4,4,4,5,5,4,4,5,4,3,5,4,5,2,21,4
0,1,107,2,5,2,5,5,5,5,5,4,4,5,5,5,3,5,5,1,1,2,1,1,1,1,1,5,4,4,3,5,5,5,1,1,1,1,1,1,1,1,3,5,5,3,2,20,3
0,1,108,2,2,3,3,4,4,2,2,4,3,5,5,5,4,4,4,3,3,4,4,3,3,2,4,3,3,2,3,4,3,3,3,2,4,4,4,4,4,2,3,4,3,4,2,21,3
0,1,109,2,2,2,3,2,4,3,3,3,4,3,4,4,2,3,4,2,1,2,1,2,2,1,1,3,3,3,2,4,3,3,3,2,3,3,4,3,1,1,1,4,4,4,2,21,4
0,1,110,2,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,2,4,4,2,2,2,2,4,4,4,3,4,4,3,2,2,2,2,2,2,2,2,2,4,4,4,2,23,3
0,1,111,1,3,2,4,4,4,1,4,4,2,5,5,5,5,5,5,2,1,2,1,1,1,1,1,4,4,4,3,4,4,4,4,3,4,4,4,4,3,1,2,4,4,3,2,25,3
0,1,112,1,2,3,2,2,3,2,2,4,2,4,4,4,3,4,3,3,2,4,3,3,3,2,2,2,3,3,2,2,2,1,3,3,4,3,3,3,4,4,4,4,4,3,2,21,3
0,1,113,2,3,3,3,3,3,2,2,2,2,3,3,3,4,4,3,2,2,3,2,1,1,2,2,3,3,4,4,3,4,4,3,4,4,2,2,3,4,3,4,2,3,2,1,26,5
0,1,114,2,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,3,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,3,3,4,4,2,2,3,4,4,4,1,26,1
0,1,115,1,3,3,3,3,3,3,3,3,3,4,3,4,4,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,5,5,5,5,5,5,4,4,4,4,3,4,1,24,3
0,1,122,2,4,4,5,3,4,2,3,4,4,5,5,5,4,5,4,2,1,3,3,2,1,1,1,2,3,2,4,5,5,4,4,5,4,4,3,3,5,3,2,5,5,5,2,21,1
0,1,123,2,3,4,4,4,4,5,4,4,3,5,5,5,5,5,5,3,2,4,3,3,3,1,3,4,4,3,3,4,4,4,4,4,4,4,4,3,4,3,4,5,5,4,2,21,2
0,1,125,1,3,2,3,3,3,3,2,4,3,4,4,3,2,3,2,3,2,3,2,2,2,2,2,3,3,4,2,2,3,3,4,3,3,4,3,3,3,3,4,3,4,3,1,20,4
0,1,126,2,2,4,3,2,3,3,3,4,3,4,4,2,4,4,2,3,2,4,4,4,4,2,1,3,4,4,2,2,3,3,2,3,3,2,2,3,2,2,3,4,5,3,2,20,1
0,1,127,1,4,3,3,3,4,4,3,3,3,4,5,3,4,4,2,4,2,3,3,2,2,2,2,4,3,4,3,4,4,3,4,4,4,4,4,4,2,1,3,4,4,3,1,26,4
0,1,128,1,2,2,2,4,4,4,4,4,4,4,5,3,3,5,3,4,2,3,5,3,4,1,1,3,4,4,5,5,5,5,2,2,1,2,1,1,4,2,3,3,4,4,1,24,4
0,1,129,2,3,3,4,2,4,4,3,4,3,4,4,4,4,3,3,3,2,4,4,4,3,2,2,3,3,2,2,3,4,3,4,4,5,4,5,4,4,3,4,4,3,4,2,21,1
0,1,132,2,2,4,4,4,4,4,3,3,3,4,2,4,4,4,4,3,2,3,3,2,2,1,1,4,4,4,3,4,4,3,3,3,4,2,2,2,5,4,4,4,5,2,2,20,4
0,1,135,2,4,3,4,2,3,3,4,4,2,5,5,5,4,4,3,3,3,4,4,4,4,2,2,3,3,3,3,4,4,4,4,3,4,3,3,3,2,2,4,3,3,3,2,20,3
0,1,136,2,3,3,4,4,4,4,4,4,4,2,2,2,3,4,3,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,3,4,4,4,4,1,20,2
0,2,1,2,4,4,4,4,4,4,4,1,2,5,5,5,1,3,3,2,1,1,1,1,1,1,1,5,5,5,5,5,5,3,1,1,1,2,1,1,4,2,4,5,5,3,1,24,5
0,2,2,2,4,4,5,5,5,3,5,2,2,5,5,5,4,5,4,3,2,4,3,2,2,2,2,3,3,3,2,4,4,4,3,3,4,2,4,3,4,4,2,4,4,4,2,24,3
0,2,3,2,3,3,3,3,3,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,2,3,2,1,1,1,1,2,4,4,4,2,1,24,6
0,2,4,2,2,2,3,4,3,3,3,2,1,5,5,5,1,2,2,2,3,3,3,2,3,2,3,2,2,2,2,3,3,3,3,2,4,3,3,3,4,2,3,2,4,3,2,22,7
0,2,6,1,4,3,4,4,4,4,4,2,3,3,2,2,1,2,1,4,2,2,2,2,2,1,1,3,3,3,2,4,3,2,3,3,3,3,3,3,2,4,4,3,3,2,1,28,4
