v1기능성,v2경제성,v3브랜드,v4환경과기술,v5내연기관전기차구매의도
0.551,-0.286,0.623,0.5,1
0.685,-0.764,1.293,1.276,1
-0.821,-2.677,-0.346,-2.036,0
0.623,1.194,1.559,-0.071,0
-0.061,0.626,-0.625,0.888,1
0.418,-0.286,0.324,-0.642,1
-0.28,-1.631,0.324,0.285,1
-0.655,-0.719,-0.911,-0.666,1
0.678,0.147,1.559,1.276,1
0.623,1.194,1.559,1.276,1
0.026,-1.631,-1.016,-1.262,0
-0.029,-0.286,-0.644,-0.473,0
-1.09,-1.631,-0.365,-0.071,1
0.551,-0.15,0.722,1.276,1
0.623,-0.286,1.559,1.074,1
0.223,1.194,-0.911,0.893,1
0.434,-0.286,1.559,0.883,1
-0.131,1.194,1.559,1.276,0
-0.778,-1.631,-0.346,-2.609,0
0.169,1.194,-0.911,0.878,1
0.294,-0.15,-0.067,-0.472,1
0.685,1.194,1.559,1.276,1
0.389,1.194,-0.644,1.276,1
0.685,1.194,0.429,-0.035,1
0.552,1.194,0.045,-1.183,1
-0.397,1.194,0.324,-0.823,1
0.49,-0.286,0.603,0.123,1
0.434,1.194,0.889,1.077,0
0.606,1.059,0.623,-0.454,1
-0.418,-0.719,0.61,-1.58,1
0.685,1.194,-0.377,-0.265,1
0.685,1.194,0.324,-1.031,1
-0.397,1.059,0.045,1.077,1
-0.084,-1.766,-0.911,0.085,1
-0.117,-0.286,-0.911,-0.666,0
-0.029,-0.286,-0.891,0.279,1
-0.609,-0.286,0.026,-0.473,0
-0.131,1.194,1.559,1.276,1
0.474,1.194,-0.911,0.681,1
0.215,-0.719,-0.365,-0.467,1
0.276,-0.286,-3.082,-1.617,1
-0.627,-0.854,-0.346,-0.267,1
0.205,-0.719,0.324,-0.071,1
0.685,1.194,1.559,1.276,1
0.606,1.194,-0.346,1.276,1
0.623,0.626,-0.872,-1.448,1
0.344,-0.15,0.324,0.085,0
0.346,-1.631,-0.346,-0.071,1
0.095,-1.197,-0.891,-0.25,1
0.418,1.194,0.591,-0.264,1
0.685,1.194,0.344,1.098,1
-0.068,-0.286,1.559,0.085,0
-1.028,-0.286,-0.644,-0.071,1
0.144,-0.286,0.324,1.077,0
0.418,1.194,-2.145,-0.866,1
-0.377,-0.286,0.324,-0.265,1
-0.028,-0.15,0.87,0.301,1
0.678,1.194,0.889,1.077,1
0.613,1.194,1.559,1.276,1
0.551,1.194,0.87,0.301,1
-1.028,-0.286,-1.449,-0.071,1
-1.903,-1.766,-1.177,-1.226,1
-0.101,-1.197,0.324,-1.418,1
-0.958,-0.286,-1.561,-0.473,1
0.623,1.194,0.324,0.717,1
-0.163,-0.286,-0.632,-0.071,1
0.222,-0.286,-0.768,-0.827,1
0.685,-1.766,-0.644,0.681,1
-1.09,-0.286,-0.625,-1.225,1
0.49,-0.286,1.559,0.506,1
0.685,1.194,-0.891,1.276,1
-0.162,-1.197,-0.911,-1.418,1
-0.163,1.194,0.324,-0.464,1
0.685,1.194,-0.911,1.276,0
-0.469,-0.719,0.324,-0.823,1
-1.028,-0.286,0.324,-0.071,1
0.434,-0.286,0.324,-0.071,1
0.685,1.194,1.559,-0.105,1
0.685,1.194,-0.911,-1.458,0
0.685,-0.286,-0.346,-0.071,0
-0.397,-1.197,-0.625,-0.27,0
0.418,1.059,1.261,0.085,1
0.685,1.194,0.324,0.524,0
0.167,0.761,1.559,0.524,1
-0.044,-0.719,0.305,-1.225,1
0.223,1.194,0.324,0.681,1
0.389,-0.286,0.623,1.276,1
0.616,0.012,0.344,-0.058,0
0.685,-0.15,0.324,1.276,1
-0.353,-0.286,0.324,0.72,1
-0.02,-0.15,-0.911,-0.071,0
-0.029,-0.286,-0.891,0.288,1
-0.968,-0.854,-0.612,-0.077,1
0.474,-0.286,0.591,0.681,1
-0.682,-0.286,0.058,-0.666,0
-1.324,-0.421,-2.27,-0.638,0
0.165,1.194,-1.19,0.905,1
0.685,1.194,0.324,0.309,0
0.277,1.194,-1.561,0.279,0
-0.108,-0.286,1.261,-2.557,1
0.354,-0.286,-0.911,-0.071,1
0.372,1.194,0.324,-0.071,1
0.095,-0.286,-0.911,0.085,1
0.606,1.194,0.324,0.72,0
-0.101,-1.766,-0.632,-0.663,1
0.434,-0.286,0.058,0.681,1
0.546,1.059,-0.346,0.473,0
0.623,1.059,1.559,0.473,1
0.685,1.059,-0.891,1.276,1
-0.101,-0.286,-1.196,-0.874,0
0.434,1.194,1.28,0.097,0
0.434,1.194,1.559,1.276,1
-0.01,-0.286,0.324,0.301,0
-2.537,-2.064,0.305,-1.407,0
0.678,0.761,0.038,-0.801,1
0.613,1.194,0.344,-0.043,0
0.427,-0.286,-2.145,0.315,1
-0.397,-1.631,0.591,-0.273,1
-0.32,1.194,1.559,1.276,1
-0.593,-1.631,-1.84,-2.222,0
0.685,0.147,0.889,1.276,0
0.685,1.059,-1.282,1.276,1
0.678,0.147,1.559,-0.071,1
0.41,-1.766,-1.847,1.077,1
0.41,1.059,0.324,1.276,1
0.169,-0.15,-0.891,0.309,1
0.544,1.194,-0.079,-0.273,1
-0.167,-1.766,-0.612,-0.071,0
0.685,-0.286,-0.644,-0.071,1
0.167,-1.631,-0.346,-1.418,0
0.623,0.147,1.559,1.276,1
-1.386,1.194,-0.911,-2.609,0
0.167,-0.286,1.559,-0.666,1
0.685,-0.286,-0.911,1.276,1
-1.279,-0.286,1.273,-0.071,1
0.685,1.194,1.559,1.276,0
0.685,-0.286,0.87,0.875,1
0.221,1.194,-0.365,-0.871,1
-0.179,0.147,0.324,-0.473,1
-4.704,-2.542,-2.815,-2.958,0
0.161,-0.719,-0.612,-0.068,1
-0.282,0.147,-3.38,0.478,1
0.685,1.059,1.559,1.276,0
0.158,-0.286,0.324,-0.071,0
-0.325,0.626,-0.632,-0.077,1
0.474,-0.719,-0.632,-0.27,1
-0.417,-0.286,-0.377,0.131,1
0.434,-0.286,0.344,1.276,1
0.6,1.194,-1.263,1.276,1
0.685,1.194,1.559,1.276,1
0.174,-0.241,-0.333,0.318,1
-0.162,-0.286,-0.644,-0.071,0
0.354,-0.286,1.559,1.276,1
0.685,-0.15,-0.911,0.681,1
0.412,-2.244,0.312,-0.292,1
-1.028,-0.286,0.324,-0.071,0
0.685,1.194,1.559,0.279,1
0.223,1.059,-1.58,-0.464,1
-1.028,-0.286,0.324,-0.071,0
0.205,-3.111,-3.38,0.279,1
-0.806,-1.197,-0.911,-1.618,1
-1.028,-0.286,-0.365,-0.071,1
0.472,1.194,-0.346,-0.27,1
0.346,-0.286,0.324,-0.265,1
0.474,-0.286,-0.911,-0.467,0
0.41,-0.286,0.87,0.482,1
0.223,-0.286,0.324,-0.071,1
-0.281,-1.333,-0.079,-0.071,1
-1.028,-0.286,0.324,-0.071,1
0.212,-0.286,-0.911,-0.071,1
-0.252,-0.286,1.559,-1.022,0
0.088,-0.719,-0.612,-0.083,1
-0.199,-0.286,-1.561,-0.27,0
-0.108,-0.719,0.572,-1.612,1
-2.742,-1.766,-0.911,-1.418,0
-0.144,1.194,-0.911,1.276,1
-1.05,-1.197,-0.221,-0.265,1
-0.265,-0.421,-0.605,-0.666,1
-0.566,-0.286,0.324,-0.086,1
0.685,1.194,0.572,1.276,1
0.685,-1.766,1.559,1.077,0
-0.326,-1.631,0.324,-1.424,1
-0.131,-1.766,0.324,-0.071,1
-0.325,-1.631,0.324,-0.666,1
0.114,-0.286,-0.911,1.083,1
-0.108,-0.286,1.559,-0.071,1
0.552,1.059,-0.73,-0.071,0
0.48,1.059,-0.377,-0.071,1
-0.306,-0.15,-0.358,-0.866,1
-0.397,-0.286,0.994,-0.265,1
0.678,1.194,0.324,1.276,1
0.276,-0.286,0.324,-0.467,1
0.685,1.194,1.559,1.276,1
-0.108,-1.766,0.344,-1.618,1
0.086,-0.286,0.61,-0.27,0
0.41,0.49,-0.346,0.881,1
-0.665,-0.286,0.324,-0.467,0
0.685,-1.766,0.324,-0.071,1
0.41,-0.286,-0.911,-0.666,1
-0.041,-1.495,-0.346,-1.418,0
0.685,1.194,1.559,1.276,1
0.678,-0.286,0.219,1.276,1
0.685,1.194,0.889,1.276,1
-0.282,-0.15,0.324,-1.019,0
-6.162,-2.037,-0.911,-3.518,0
0.685,1.194,1.559,1.276,0
-0.21,-0.15,-0.346,-2.014,0
0.678,1.194,1.559,0.902,0
0.685,1.194,0.889,0.681,1
0.685,-0.286,0.344,-0.473,0
0.541,-1.495,0.591,-2.002,0
0.685,-1.333,0.324,1.276,1
0.685,1.194,-0.911,1.276,1
-0.258,-0.15,0.591,-0.461,1
-4.455,-3.246,-2.145,-2.766,0
0.058,-0.15,-1.4,-1.817,0
-4.455,-0.286,0.324,-0.071,0
0.685,1.059,-0.06,0.675,1
-1.028,-0.286,-0.891,-1.418,0
0.467,1.194,0.324,0.681,1
0.685,1.194,1.559,1.276,0
0.528,-0.764,-1.289,0.49,1
-0.824,-1.766,-0.911,-0.071,1
0.685,1.194,0.324,1.276,1
0.606,-0.286,-0.605,1.276,1
0.685,1.194,-0.346,0.905,0
0.678,-0.286,-0.067,0.679,1
0.158,-0.421,-0.632,1.077,1
0.685,1.194,1.559,1.276,1
-0.571,-1.062,0.312,-2.21,1
0.15,-0.421,-0.911,-0.473,1
-1.585,-1.766,-0.911,-1.418,1
-6.168,1.194,-0.911,1.276,0
0.286,1.194,1.014,-0.434,1
0.685,1.194,0.324,1.276,0
0.685,1.194,1.559,1.276,1
0.552,0.147,1.559,0.905,1
0.551,0.147,0.591,0.509,1
0.42,1.194,-2.145,-0.295,0
0.167,-0.286,0.324,-0.273,1
0.015,-0.286,-0.079,0.123,1
0.678,1.194,0.603,1.276,0
-0.727,-0.286,0.324,-0.071,0
0.434,1.194,-0.346,1.276,0
0.678,1.194,-0.353,0.495,1
0.418,-0.286,-0.067,-0.071,1
0.623,-0.286,0.324,0.113,1
0.685,-0.286,-0.612,1.276,0
0.552,-0.421,-0.047,1.276,1
0.49,1.194,1.559,0.675,0
0.685,-0.286,0.058,1.276,1
0.685,0.012,1.559,1.276,1
0.685,-0.286,0.591,1.276,1
0.48,0.283,-0.346,0.11,1
0.434,1.194,0.324,1.276,1
0.685,1.059,-0.911,1.276,0
-0.446,-1.062,0.87,0.883,0
0.678,1.194,1.559,1.276,1
0.195,-1.333,-0.346,-0.479,0
0.685,1.194,1.559,1.276,1
-0.951,-0.286,-0.911,-0.071,0
0.403,-0.286,-0.911,-0.071,0
0.528,0.924,1.559,1.276,1
0.354,-1.631,-0.984,-1.461,0
-0.18,-1.333,-0.612,-0.06,1
0.678,1.194,-0.377,1.276,1
-1.028,-0.286,0.324,-0.071,1
-0.397,-0.286,-0.911,-1.418,1
-0.469,-0.286,-2.145,-0.666,1
0.095,0.761,0.324,-1.234,0
0.167,-0.286,-0.911,-0.473,0
0.15,-0.286,0.324,-0.071,1
-0.469,-1.631,-0.346,-1.618,0
-0.871,-0.286,-0.911,-0.666,1
0.286,1.194,1.001,-0.288,1
0.434,1.194,1.559,1.276,0
-0.18,-1.766,-0.644,-0.823,1
0.12,-1.333,-1.016,-0.467,0
-0.978,-0.421,-0.911,-0.071,0
0.606,-0.15,-0.911,0.085,1
-0.738,-0.286,-0.911,-1.234,1
0.685,1.194,1.559,0.479,1
0.474,-0.15,-2.145,-0.473,1
0.161,-0.286,-0.346,-0.464,1
-1.172,-0.286,-0.911,-0.666,0
-0.108,-0.286,-0.625,-0.853,1
-0.53,-0.286,-0.911,-0.071,1
0.382,1.194,0.324,1.276,1
0.143,0.626,1.28,-0.27,1
-0.505,-0.286,0.324,-0.071,1
-0.193,-0.764,-0.358,-1.415,0
0.616,-0.286,1.559,-0.071,1
0.685,1.194,-0.911,0.884,0
-2.742,-0.286,-0.911,-0.071,1
0.685,1.194,0.324,1.276,1
-1.792,-1.197,0.058,-1.43,1
0.095,-0.286,-0.346,-0.63,1
-0.627,-1.631,-0.644,-1.618,1
0.685,1.194,0.324,0.524,1
-0.592,-0.286,0.324,-0.823,1
0.354,-0.15,-0.346,-0.823,1
0.167,-0.15,0.324,0.131,1
-0.053,-0.286,0.591,-0.461,1
0.253,1.194,1.559,0.524,1
-0.003,0.147,-0.365,-2.019,1
0.678,-0.421,-0.625,-1.813,0
-0.147,-0.286,-0.911,-3.303,0
-6.168,-0.15,-0.911,-1.418,1
0.685,1.194,-0.079,1.276,1
0.678,-0.286,-0.644,-0.068,1
-5.102,1.194,1.559,1.276,0
0.434,-0.286,-0.346,-0.823,0
0.623,-0.286,1.559,1.276,1
0.551,1.194,1.559,0.08,1
-1.569,-0.854,-0.911,-2.17,1
0.177,-1.631,-0.911,-1.219,1
0.483,1.059,-1.549,-0.683,1
0.103,-0.286,0.61,0.306,1
0.685,1.194,-0.314,0.473,1
0.685,1.194,1.559,0.303,1
-1.162,-0.286,-0.612,-1.023,1
0.045,1.194,-0.353,-0.228,1
-0.037,-0.15,0.324,-0.823,1
0.434,1.194,-0.911,-0.666,1
0.474,-0.286,0.623,-0.071,1
0.412,0.147,0.219,-0.823,1
0.418,0.147,0.591,0.125,1
0.63,1.194,1.559,1.083,0
0.678,1.194,1.559,1.276,1
0.143,-1.631,-0.923,-0.27,1
